"RANK","INC_YEAR","COMPANY","3-YR GROWTH","REVENUE","INDUSTRY","YEARS","METRO_AREA"
"340","2014","Morning Sun Financial Services","1,373%","$21.9m","Health","","Minneapolis"
"341","2014","Surefire Social","1,372%","$2.9m","Advertising & Marketing","","Washington, DC"
"342","2014","Solomon Consulting Group","1,370%","$3.1m","IT Services","","Kansas City, MO-KS"
"343","2014","Specialty Coating & Laminating","1,362%","$44.8m","Manufacturing","","Richmond, VA"
"344","2014","Think Tech Labs","1,361%","$2.4m","Software","","Austin"
"345","2014","Texas Green Giant","1,355%","$4.2m","Environmental Services","","Houston"
"346","2014","New Wave Surgical","1,354%","$21m","Health","","Miami"
"347","2014","Mainstreet","1,352%","$106.2m","Real Estate","","Indianapolis, IN"
"348","2014","The Participation Agency","1,352%","$2.1m","Advertising & Marketing","","New York City"
"349","2014","Cumulus Global","1,350%","$7.5m","IT Services","","Worcester, MA"
"350","2014","BulbAmerica","1,349%","$8.9m","Retail","","New York City"
"351","2014","FlexWage Solutions","1,337%","$2.6m","Financial Services","","New York City"
"352","2014","PureWow","1,335%","$3.3m","Media","","New York City"
"353","2014","Rifle Paper Co.","1,333%","$8.2m","Consumer Products & Services","","Orlando, FL"
"354","2014","LabTech Software","1,331%","$34.8m","Software","","Tampa"
"355","2014","GME Supply","1,331%","$18.1m","Business Products & Services","","Columbia, MO"
"356","2014","Dope","1,331%","$5.3m","Consumer Products & Services","","Los Angeles"
"357","2014","LocalSearchForDentists.com","1,324%","$2.3m","Advertising & Marketing","","Austin"
"358","2014","EmbedTek","1,323%","$13m","Computer Hardware","","Milwaukee-Waukesha-West Allis, WI"
"359","2014","Flexground","1,322%","$5.1m","Construction","","Phoenix"
"360","2014","WebEyeCare","1,320%","$9.5m","Retail","","Philadelphia"
"361","2014","TTCG","1,319%","$6m","Financial Services","","Portland, OR"
"362","2014","WebPT","1,316%","$17m","Software","","Phoenix"
"363","2014","StemExpress","1,316%","$2.2m","Health","","Sacramento--Arden-Arcade--Roseville, CA"
"364","2014","BlissLights","1,314%","$17.1m","Consumer Products & Services","","San Diego"
"365","2014","Simon & Simon","1,308%","$3.8m","Consumer Products & Services","","Philadelphia"
"366","2014","Restaurantware","1,307%","$2.3m","Food & Beverage","","Chicago"
"367","2014","Fuel Medical Group","1,299%","$5.8m","Health","","Portland, OR"
"368","2014","Plug Smart","1,298%","$7.3m","Energy","","Columbus, OH"
"369","2014","Six Spoke Media","1,291%","$11.9m","Advertising & Marketing","","San Francisco"
"370","2014","Ameex Technologies","1,288%","$3.2m","IT Services","","Chicago"
"371","2014","The RSR Company","1,280%","$6.7m","Government Services","","Washington, DC"
"372","2014","Team Trident","1,280%","$11.2m","Energy","","Houston"
"373","2014","Back to the Roots","1,280%","$3.3m","Consumer Products & Services","","San Francisco"
"374","2014","Gadberry Construction Company","1,277%","$3.6m","Construction","","Dallas"
"375","2014","InVision Security","1,269%","$3.8m","Security","","Philadelphia"
"376","2014","Invoca","1,267%","$9.4m","Software","","Santa Maria-Santa Barbara, CA"
"377","2014","zprepay","1,267%","$6.4m","Financial Services","","Houston"
"378","2014","Re:think (Ramsey, NJ)","1,267%","$7.1m","Advertising & Marketing","","New York City"
"379","2014","Lumber One Services","1,258%","$4.1m","Construction","","Phoenix"
"380","2014","Blue Ridge Product Solutions","1,257%","$3.2m","Retail","","Richmond, VA"
"381","2014","Webyshops","1,255%","$10.7m","Retail","","Dallas"
"382","2014","Dom & Tom","1,232%","$4m","IT Services","","New York City"
"383","2014","Flat World Supply Chain","1,231%","$40.4m","Logistics & Transportation","","St. Louis, MO-IL"
"384","2014","Overstocks Trading","1,218%","$2.1m","Business Products & Services","","Orlando, FL"
"385","2014","Reliant Funding","1,217%","$5.9m","Financial Services","","San Diego"
"386","2014","PK4 Media","1,212%","$7.1m","Advertising & Marketing","","Los Angeles"
"387","2014","Escapada","1,211%","$4.6m","Consumer Products & Services","","Charleston-North Charleston, SC"
"388","2014","ToCharge","1,209%","$2.1m","Financial Services","","Virginia Beach-Norfolk-Newport News, VA-NC"
"389","2014","New Tradition Media","1,209%","$2m","Advertising & Marketing","","New York City"
"390","2014","Titan Electric","1,201%","$10.9m","Construction","","Charlotte"
"391","2014","Level 11","1,199%","$8m","IT Services","","Seattle"
"392","2014","Jaybird","1,194%","$31.2m","Consumer Products & Services","","Salt Lake City"
"393","2014","Four Seasons Home Services","1,191%","$15.5m","Construction","","Chicago"
"394","2014","Babyhaven.com","1,186%","$17.6m","Retail","","Los Angeles"
"395","2014","Trend Nation","1,182%","$12.1m","Retail","","Las Vegas-Henderson-Paradise, NV"
"396","2014","StandBy Talent Staffing Services","1,179%","$3.6m","Human Resources","","Atlanta"
"397","2014","Startex Industries","1,179%","$14.2m","Business Products & Services","","Chicago"
"398","2014","Progressive Dental","1,179%","$2.2m","Advertising & Marketing","","Tampa"
"399","2014","Orangetheory Fitness","1,178%","$7m","Health","","Miami"
"400","2014","DG3 Media Group","1,177%","$2.3m","Advertising & Marketing","","Orlando, FL"
"401","2014","National Tax Credit","1,176%","$3.4m","Financial Services","","Atlanta"
"402","2014","The Force Realty","1,174%","$8m","Real Estate","","Seattle"
"403","2014","RUBY MAKEUP ACADEMY","1,174%","$2.1m","Education","","Los Angeles"
"404","2014","Caliber The Wealth Development Company","1,170%","$8m","Real Estate","","Phoenix"
"405","2014","Patientco","1,167%","$2.9m","Health","","Atlanta"
"406","2014","Clicks and Clients","1,164%","$2m","Advertising & Marketing","","Denver"
"407","2014","Rapier Solutions","1,163%","$10.1m","IT Services","","Charlotte"
"408","2014","Peak Capital Partners","1,161%","$48.8m","Real Estate","","Heber, UT"
"409","2014","Imagine Staffing Technology","1,153%","$7.5m","Human Resources","","Buffalo-Cheektowaga-Niagara Falls, NY"
"410","2014","Construct Solutions","1,152%","$8m","Construction","","Indianapolis, IN"
"411","2014","Knight Solutions","1,150%","$16.1m","Government Services","","Washington, DC"
"412","2014","Monster Flooring SALE","1,150%","$6.7m","Retail","","Dallas"
"413","2014","Spoken Communications","1,149%","$15.5m","Telecommunications","","Seattle"
"414","2014","AKTA","1,147%","$3.1m","Business Products & Services","","Chicago"
"415","2014","Car Wash Technologies","1,143%","$14m","Business Products & Services","","Pittsburgh, PA"
"416","2014","Biomedical Research Laboratories","1,137%","$2.5m","Food & Beverage","","Philadelphia"
"417","2014","SearchMarketers.com","1,137%","$2m","Advertising & Marketing","","Los Angeles"
"418","2014","Radius (Kirkland, WA)","1,130%","$4.9m","IT Services","","Seattle"
"419","2014","New Venture Escrow","1,128%","$2m","Real Estate","","San Diego"
"420","2014","Transactis","1,126%","$5.4m","Software","","New York City"
"421","2014","Navitas Lease","1,124%","$10.1m","Financial Services","","Jacksonville, FL"
"422","2014","Response Team 1","1,124%","$60.7m","Construction","","Chicago"
"423","2014","Bowlmor AMF","1,120%","$408.5m","Food & Beverage","","New York City"
"424","2014","TK Media Direct","1,120%","$12.7m","Advertising & Marketing","","Los Angeles"
"425","2014","Markets Group","1,115%","$5.8m","Financial Services","","New York City"
"426","2014","ServerHub","1,112%","$2m","IT Services","","Phoenix"
"427","2014","Gossett Jones Homes","1,109%","$9.3m","Construction","","Austin"
"428","2014","myThings","1,100%","$44.7m","Advertising & Marketing","","New York City"
"429","2014","Revant","1,099%","$4m","Consumer Products & Services","","Portland, OR"
"430","2014","Convene (Tampa, FL)","1,098%","$9.2m","IT Services","","Tampa"
"431","2014","ShayCore Enterprises","1,095%","$8.3m","Construction","","Jacksonville, FL"
"432","2014","Fluent (New York, NY)","1,094%","$52.6m","Advertising & Marketing","","New York City"
"433","2014","ApTask","1,092%","$15.3m","IT Services","","New York City"
"434","2014","Cloud for Good","1,091%","$1.9m","IT Services","","Asheville, NC"
"435","2014","Ascendo Resources","1,090%","$15m","Human Resources","","Miami"
"436","2014","Perseus","1,089%","$22.7m","Telecommunications","","New York City"
"437","2014","TexPro Painters","1,085%","$2.7m","Construction","","Dallas"
"438","2014","Fluent (Boston, MA)","1,080%","$13.1m","Advertising & Marketing","","Boston"
"439","2014","Toilettree Products","1,080%","$3.3m","Consumer Products & Services","","New York City"
"440","2014","Swiftpage","1,077%","$50.2m","Software","","Denver"
"441","2014","RIPT Apparel","1,076%","$3.2m","Retail","","Chicago"
"442","2014","Framework Communications","1,075%","$2.2m","IT Services","","Chicago"
"443","2014","EHD Technologies","1,075%","$25.5m","Business Products & Services","","Nashville"
"444","2014","I.T. Source","1,075%","$102.8m","IT Services","","Los Angeles"
"445","2014","Field Nation","1,073%","$43.3m","Business Products & Services","","Minneapolis"
"446","2014","Sol Systems","1,073%","$23.6m","Financial Services","","Washington, DC"
"447","2014","TheraPearl","1,068%","$9.4m","Consumer Products & Services","","Baltimore"
"448","2014","Rocktape","1,068%","$5.3m","Health","","San Jose"
"449","2014","OBXtek","1,065%","$37.8m","Government Services","","Washington, DC"
"450","2014","In-Flight Crew Connections","1,065%","$9.6m","Travel & Hospitality","","Charlotte"
"451","2014","Servlinx","1,052%","$2.2m","IT Services","","San Jose"
"452","2014","E Revolution Ventures","1,050%","$43.2m","Retail","","Seaford, DE"
"453","2014","The Doctor's Choice","1,049%","$2.4m","Health","","Los Angeles"
"454","2014","WillowTree","1,048%","$8.2m","Software","","Charlottesville, VA"
"455","2014","Tru Medical Solutions","1,048%","$4.5m","Health","","Chattanooga, TN-GA"
"456","2014","T1V","1,043%","$2.4m","Business Products & Services","","Charlotte"
"457","2014","Fathom Realty","1,039%","$2.3m","Real Estate","","Dallas"
"458","2014","Cloud Sherpas","1,036%","$113m","IT Services","","Atlanta"
"459","2014","Kanda Software","1,035%","$5.1m","Software","","Boston"
"460","2014","Content Marketing Institute","1,034%","$4.4m","Media","","Cleveland"
"461","2014","Tillman Companies","1,033%","$5.2m","Construction","","Knoxville, TN"
"462","2014","Prosper Insurance Group","1,025%","$2.8m","Insurance","","Virginia Beach-Norfolk-Newport News, VA-NC"
"463","2014","Impact Makers","1,024%","$10.3m","IT Services","","Richmond, VA"
"464","2014","Votto Vines Importing","1,023%","$4.3m","Food & Beverage","","New Haven-Milford, CT"
"465","2014","Coupa Software","1,023%","$23.1m","Software","","San Francisco"
"466","2014","All Around","1,020%","$12.4m","Construction","","Minneapolis"
"467","2014","Mashburn Outdoor","1,010%","$5.7m","Advertising & Marketing","","Atlanta"
"468","2014","Tracker Corp","1,002%","$8.3m","Software","","San Francisco"
"469","2014","Themesoft","1,001%","$23.1m","IT Services","","Colorado Springs, CO"
"470","2014","Halvik","1,000%","$7.8m","IT Services","","Washington, DC"
"471","2014","OneSource Virtual","999%","$36.9m","Business Products & Services","","Dallas"
"472","2014","Marie Forleo International","998%","$11.9m","Education","","New York City"
"473","2014","EPtronics","997%","$13.4m","Manufacturing","","Los Angeles"
"474","2014","American Addiction Centers","995%","$115.7m","Health","","Nashville"
"475","2014","Solid Commerce","994%","$2.2m","Software","","Los Angeles"
"476","2014","North American Power","991%","$263.2m","Energy","","Bridgeport-Stamford-Norwalk, CT"
"477","2014","Build Group","990%","$199.4m","Construction","","San Francisco"
"478","2014","Hipercept","988%","$10.5m","Real Estate","","New York City"
"479","2014","SeaSnax","988%","$3.5m","Food & Beverage","","Los Angeles"
"480","2014","Nimbo","987%","$4.5m","IT Services","","New York City"
"481","2014","Staff America","986%","$3.4m","IT Services","","Miami"
"482","2014","Netsertive","986%","$19.5m","Advertising & Marketing","","Durham-Chapel Hill, NC"
"483","2014","Premier Logic","983%","$8.4m","Software","","Atlanta"
"484","2014","Energy Optimizers, USA","979%","$6.2m","Energy","","Dayton, OH"
"485","2014","InterRail","979%","$17.1m","Travel & Hospitality","","Boston"
"486","2014","Dealer Spike","979%","$3.7m","Advertising & Marketing","","Portland, OR"
"487","2014","Maven Recruiting Group","978%","$2m","Human Resources","","San Francisco"
"488","2014","Barbaricum","972%","$13.4m","Government Services","","Washington, DC"
"489","2014","CATMEDIA","970%","$4.5m","Government Services","","Atlanta"
"490","2014","STONE Resource Group","969%","$8.9m","IT Services","","Atlanta"
"491","2014","JEAR Logistics","969%","$15.1m","Logistics & Transportation","","Charleston-North Charleston, SC"
"492","2014","Evolve Digital Labs","968%","$5.1m","Advertising & Marketing","","St. Louis, MO-IL"
"493","2014","Red Rock Business Advisors","966%","$4.7m","IT Services","","Washington, DC"
"494","2014","Bodhtree Solutions","965%","$40.6m","IT Services","","San Jose"
"495","2014","Cerebral Group","964%","$11m","Government Services","","Des Moines-West Des Moines, IA"
"496","2014","Strategic Mobility Group","964%","$16.3m","IT Services","","Chicago"
"497","2014","Petroleum Kings","962%","$2.6m","Energy","","New York City"
"498","2014","Fino Consulting","956%","$6m","Software","","New York City"
"499","2014","Trueffect","953%","$21.2m","Advertising & Marketing","","Denver"
"500","2014","Rook Security","942%","$3.9m","Security","","Indianapolis, IN"
"1","2015","Ultra Mobile","100,849%","$118.2m","Telecommunications","","Los Angeles"
"2","2015","TRYFACTA","28,365%","$34.4m","IT Services","","San Francisco"
"3","2015","Optima Tax Relief","26,007%","$33.6m","Financial Services","","Los Angeles"
"4","2015","Castle Medical","25,485%","$83.6m","Health","","Atlanta"
"5","2015","Quick Bridge Funding","24,138%","$44.6m","Financial Services","","Los Angeles"
"6","2015","Drawbridge","23,484%","$32.9m","Advertising & Marketing","","San Francisco"
"7","2015","StartApp","22,036%","$37.1m","Software","","New York City"
"8","2015","Restore Health","21,753%","$30.4m","Health","","Madison, WI"
"9","2015","Scopely","19,556%","$32m","Advertising & Marketing","","Los Angeles"
"10","2015","Company.com","18,888%","$31m","Business Products & Services","","Atlanta"
"11","2015","Jane","18,787%","$56.9m","Retail","","Provo-Orem, UT"
"12","2015","Nerium International","16,617%","$403m","Consumer Products & Services","","Dallas"
"13","2015","XOOM Energy","16,602%","$293.1m","Energy","","Charlotte"
"14","2015","Adore Me","15,606%","$16m","Retail","","New York City"
"15","2015","eLuxurySupply","14,885%","$18.2m","Retail","","Evansville, IN-KY"
"16","2015","Goldco Precious Metals","13,441%","$28.5m","Financial Services","","Los Angeles"
"17","2015","Access Point Financial","12,010%","$29m","Financial Services","","Atlanta"
"18","2015","Rant","11,620%","$17.2m","Media","","Los Angeles"
"19","2015","Aarki","11,133%","$31.6m","Advertising & Marketing","","San Jose"
"20","2015","Aseptia","11,121%","$23.6m","Food & Beverage","","Raleigh-Cary, NC"
"21","2015","TATCHA","10,996%","$12m","Retail","","San Francisco"
"22","2015","iCracked","10,656%","$15m","Consumer Products & Services","","San Francisco"
"23","2015","Vantage Point","8,790%","$21.5m","Computer Hardware","","Chicago"
"24","2015","Apeks Supercritical","8,249%","$9m","Manufacturing","","Columbus, OH"
"25","2015","Acordis International","8,126%","$9.9m","IT Services","","Miami"
"26","2015","HighPoint Global","8,123%","$95.4m","Government Services","","Indianapolis, IN"
"27","2015","SkyRocket Media","8,111%","$11.8m","Advertising & Marketing","","Provo-Orem, UT"
"28","2015","InvitedHome","8,001%","$11.3m","Travel & Hospitality","","Boulder, CO"
"29","2015","AllScreen","7,965%","$10.8m","Advertising & Marketing","","Los Angeles"
"30","2015","ZZW Global","7,904%","$8.6m","Energy","","Oklahoma City, OK"
"31","2015","Plant Therapy","7,854%","$8.1m","Retail","","Twin Falls, ID"
"32","2015","Global Efficient Energy","7,815%","$28.6m","Energy","","Dallas"
"33","2015","GoPole","7,693%","$9.5m","Consumer Products & Services","","New York City"
"34","2015","The Trade Desk","6,949%","$202m","Advertising & Marketing","","Oxnard-Thousand Oaks-Ventura, CA"
"35","2015","AdTheorent","6,772%","$22.2m","Advertising & Marketing","","New York City"
"36","2015","Kabbage","6,722%","$40.1m","Financial Services","","Atlanta"
"37","2015","Seeking Health","6,181%","$6.7m","Health","","Mount Vernon-Anacortes, WA"
"38","2015","SearchMarketers.com","6,146%","$10m","Advertising & Marketing","","Los Angeles"
"39","2015","Crest Financial Services","6,142%","$115.1m","Financial Services","","Salt Lake City"
"40","2015","Muscle Up Marketing","5,967%","$6m","Advertising & Marketing","","Atlanta"
"41","2015","Meister Cook","5,905%","$12.4m","Manufacturing","","Fort Wayne, IN"
"42","2015","Onyx Distribution","5,866%","$6m","Consumer Products & Services","","Los Angeles"
"43","2015","Critical Mix","5,790%","$32.8m","Business Products & Services","","Bridgeport-Stamford-Norwalk, CT"
"44","2015","CTC Transportation Insurance Services","5,646%","$13.8m","Insurance","","San Diego"
"45","2015","Noonday Collection","5,512%","$11.8m","Retail","","Austin"
"46","2015","J.W. Logistics","5,510%","$44.9m","Logistics & Transportation","","Dallas"
"47","2015","Entrust Energy","5,410%","$132m","Energy","","Houston"
"48","2015","Gainsight","5,314%","$5.5m","Software","","San Francisco"
"49","2015","BioPoint","5,302%","$7.2m","Health","","Boston"
"50","2015","ReVamp Electronics","5,261%","$8.1m","Business Products & Services","","Chicago"
"51","2015","Signal","5,244%","$17.2m","Software","","Chicago"
"52","2015","Crescent Enterprise Solutions","5,194%","$17.7m","IT Services","","Los Angeles"
"53","2015","FITBIT","5,057%","$745.4m","Health","","San Francisco"
"54","2015","Acoma Energy","4,908%","$11.8m","Energy","","Denver-Aurora, CO"
"55","2015","Mac Warehouse","4,801%","$5.3m","Computer Hardware","","Salt Lake City"
"56","2015","FACILITY SOLUTIONS","4,786%","$6m","Construction","","Spartanburg, SC"
"57","2015","Clinical Ink","4,614%","$5.9m","Health","","Philadelphia"
"58","2015","PosiGen","4,500%","$68.7m","Energy","","New Orleans-Metairie-Kenner, LA"
"59","2015","Physicians Toxicology Laboratory","4,415%","$9m","Health","","Tampa"
"60","2015","Base Commerce","4,401%","$19.9m","Financial Services","","Phoenix"
"61","2015","Ampush","4,399%","$15.2m","Software","","San Francisco"
"62","2015","WePay","4,354%","$24.9m","Software","","San Jose"
"63","2015","Analytica","4,248%","$8.8m","IT Services","","Washington, DC"
"64","2015","Swift Capital","4,237%","$27.5m","Financial Services","","Philadelphia"
"65","2015","Local Search Group","4,213%","$9.4m","Advertising & Marketing","","Houston"
"66","2015","Toad Murphy","4,181%","$6.4m","Consumer Products & Services","","San Francisco"
"67","2015","HAYSTACKID","4,171%","$4.4m","IT Services","","Boston"
"68","2015","Trident Technologies","4,161%","$16m","Government Services","","Huntsville, AL"
"69","2015","USTRP","4,161%","$6.3m","Financial Services","","Kerrville, TX"
"70","2015","Fresh Meal Plan","4,128%","$10.8m","Food & Beverage","","Miami"
"71","2015","AppDirect","4,074%","$18.1m","Software","","San Francisco"
"72","2015","Angel Dough Ventures","4,063%","$6.8m","Business Products & Services","","New York City"
"73","2015","DG3 Media Group","4,061%","$8.1m","Advertising & Marketing","","Orlando, FL"
"74","2015","eSalon","4,048%","$16.9m","Consumer Products & Services","","Los Angeles"
"75","2015","AKDY Imports","3,997%","$10.7m","Consumer Products & Services","","Los Angeles"
"76","2015","Kukui","3,943%","$4.1m","Software","","San Jose"
"77","2015","Mid America Logistics","3,918%","$22.1m","Logistics & Transportation","","St. Louis, MO-IL"
"78","2015","Sprout Social","3,918%","$15.1m","Software","","Chicago"
"79","2015","InsureMonkey","3,777%","$6.2m","Software","","Las Vegas-Paradise, NV"
"80","2015","Lynx Technology Partners","3,740%","$7.9m","Security","","New York City"
"81","2015","6 Pack Fitness","3,733%","$11.4m","Consumer Products & Services","","San Francisco"
"82","2015","Skratch Labs","3,712%","$3.8m","Food & Beverage","","Denver-Aurora, CO"
"83","2015","Excel Group","3,702%","$16.5m","Real Estate","","Washington, DC"
"84","2015","LED Supply Co","3,688%","$7.6m","Business Products & Services","","Denver-Aurora, CO"
"85","2015","ConsultADD","3,662%","$6.7m","IT Services","","New York City"
"86","2015","Prosper Marketplace","3,618%","$81.3m","Financial Services","","San Francisco"
"87","2015","E-Telequote Insurance","3,613%","$5.1m","Insurance","","Tampa"
"88","2015","Cardlytics","3,597%","$53.4m","Advertising & Marketing","","Atlanta"
"89","2015","Redbooth","3,596%","$4.9m","Software","","San Francisco"
"90","2015","RocketDrop","3,577%","$190.3m","Business Products & Services","","Boston"
"91","2015","Bizness Apps","3,572%","$7.6m","Software","","San Francisco"
"92","2015","LLT Group","3,560%","$4.5m","Advertising & Marketing","","Chicago"
"93","2015","CloudLock","3,557%","$9.1m","Security","","Boston"
"94","2015","CATMEDIA","3,545%","$17m","Government Services","","Atlanta"
"95","2015","Cognitive Medical Systems","3,499%","$5.1m","Health","","San Diego"
"96","2015","Asanda AVEDA Spa Lounge","3,430%","$4.2m","Consumer Products & Services","","New York City"
"97","2015","Marketsmith","3,420%","$103m","Advertising & Marketing","","New York City"
"98","2015","Hostwinds","3,416%","$3.5m","IT Services","","Tulsa, OK"
"99","2015","CPSG Partners","3,396%","$26.7m","IT Services","","Dallas"
"100","2015","Contently","3,391%","$7.6m","Advertising & Marketing","","New York City"
"101","2015","Saatva","3,337%","$28.6m","Retail","","Bridgeport-Stamford-Norwalk, CT"
"102","2015","Direct Results Marketing","3,283%","$5.4m","Advertising & Marketing","","Houston"
"103","2015","Kill Cliff","3,259%","$8.1m","Food & Beverage","","Atlanta"
"104","2015","AlphaSense","3,256%","$3.6m","Software","","San Francisco"
"105","2015","Bois Blanc Sports","3,248%","$9.7m","Retail","","Washington, DC"
"106","2015","Max Interactive","3,233%","$4.7m","Consumer Products & Services","","Los Angeles"
"107","2015","Greensmith","3,209%","$16.7m","Energy","","Washington, DC"
"108","2015","Resell MFG","3,209%","$5.7m","Business Products & Services","","Orlando, FL"
"109","2015","Smart Energy Today","3,199%","$10.8m","Energy","","Olympia, WA"
"110","2015","Dogs Bollocks DB5","3,105%","$10.2m","Advertising & Marketing","","Los Angeles"
"111","2015","MCSG Technologies","3,099%","$9.5m","IT Services","","Oklahoma City, OK"
"112","2015","Impact Radius","3,087%","$6m","Advertising & Marketing","","Santa Barbara-Santa Maria-Goleta, CA"
"113","2015","USEReady","3,059%","$15.4m","Software","","New York City"
"114","2015","SoulPancake","3,044%","$3.9m","Media","","Los Angeles"
"115","2015","Pharmapacks","3,035%","$31.5m","Retail","","New York City"
"116","2015","VETS etc.","3,017%","$22.3m","IT Services","","Salinas, CA"
"117","2015","freshbenies","2,999%","$3.4m","Health","","Dallas"
"118","2015","Na Ali'i","2,987%","$3.3m","Government Services","","Honolulu, HI"
"119","2015","Astoria Company","2,983%","$3.3m","Advertising & Marketing","","Philadelphia"
"120","2015","The Newsletter Pro","2,975%","$3.1m","Advertising & Marketing","","Boise City-Nampa, ID"
"121","2015","RevLocal","2,968%","$12.5m","Advertising & Marketing","","Columbus, OH"
"122","2015","Reliant Asset Management","2,960%","$105.3m","Business Products & Services","","Washington, DC"
"123","2015","VitalWare","2,938%","$3.6m","Health","","Yakima, WA"
"124","2015","DeliverLean","2,916%","$8.2m","Food & Beverage","","Miami"
"125","2015","The Bait Shoppe","2,900%","$3.3m","Advertising & Marketing","","New York City"
"126","2015","TAG Aero","2,879%","$6.2m","Logistics & Transportation","","Orlando, FL"
"127","2015","Bai Brands","2,866%","$47.9m","Food & Beverage","","Trenton-Ewing, NJ"
"128","2015","Fathom Realty","2,860%","$18.1m","Real Estate","","Dallas"
"129","2015","Love With Food","2,859%","$3m","Food & Beverage","","San Francisco"
"130","2015","Knot Standard","2,849%","$3.3m","Retail","","New York City"
"131","2015","eaHELP","2,837%","$4.5m","Business Products & Services","","Atlanta"
"132","2015","Plexus Worldwide","2,833%","$310.4m","Health","","Phoenix"
"133","2015","Kohana Coffee","2,810%","$5.2m","Food & Beverage","","Austin"
"134","2015","Spirit Monkey","2,800%","$3m","Consumer Products & Services","","San Antonio, TX"
"135","2015","EverBright Media","2,777%","$8.4m","Media","","Miami"
"136","2015","OutboundEngine","2,774%","$4.4m","Software","","Austin"
"137","2015","Patriot Group International","2,773%","$28.3m","Government Services","","Washington, DC"
"138","2015","One Stop Equine Shop","2,771%","$3.4m","Retail","","Chicago"
"140","2015","Best Costume & Toy Deals","2,734%","$5.4m","Retail","","Los Angeles"
"141","2015","Morning Star Financial Services","2,733%","$44.1m","Health","","Minneapolis"
"142","2015","Andy & Evan Industries","2,718%","$3.2m","Consumer Products & Services","","New York City"
"143","2015","Showroom Logic","2,711%","$28.8m","Advertising & Marketing","","Miami"
"144","2015","XGILITY","2,709%","$3.5m","IT Services","","Washington, DC"
"145","2015","Futurewave Systems","2,700%","$7.7m","Human Resources","","Atlanta"
"146","2015","inDinero","2,686%","$2.8m","Software","","San Francisco"
"147","2015","Marathon Energy","2,674%","$32.6m","Energy","","New York City"
"148","2015","LifeTree Manufacturing","2,646%","$5.6m","Food & Beverage","","Phoenix"
"149","2015","Lancera","2,634%","$2.9m","Software","","Provo-Orem, UT"
"150","2015","Midroll Media","2,616%","$7.9m","Media","","Los Angeles"
"151","2015","VISUAL BI","2,610%","$9m","Business Products & Services","","Dallas"
"152","2015","MediaAlpha","2,589%","$85.1m","Software","","Seattle"
"153","2015","Alliance Family of Companies","2,574%","$13.2m","Health","","Dallas"
"154","2015","Zerbee Business Products","2,550%","$6.3m","Retail","","Minneapolis"
"155","2015","TrackR","2,541%","$2.7m","Consumer Products & Services","","Santa Barbara-Santa Maria-Goleta, CA"
"156","2015","Total Technology Solutions Group","2,514%","$5.5m","Business Products & Services","","Chicago"
"157","2015","180 South","2,507%","$3.1m","Advertising & Marketing","","New York City"
"158","2015","Krossover","2,494%","$4.2m","Software","","New York City"
"159","2015","IIT","2,493%","$26m","IT Services","","New York City"
"160","2015","Touchsuite","2,484%","$26.6m","Software","","Miami"
"161","2015","Lamps.com","2,473%","$3.4m","Retail","","Philadelphia"
"162","2015","AudioMicro","2,463%","$13.4m","Media","","Los Angeles"
"163","2015","Transitions Commute Solutions","2,455%","$2.5m","Logistics & Transportation","","Orlando, FL"
"164","2015","PrescribeWellness","2,453%","$2.6m","Health","","Los Angeles"
"165","2015","MeritHall","2,443%","$5.9m","Construction","","Detroit"
"166","2015","Boyce Technologies","2,442%","$24.9m","Manufacturing","","New York City"
"167","2015","Boa Logistics","2,440%","$6.5m","Logistics & Transportation","","Los Angeles"
"168","2015","UrgentRx","2,439%","$3.6m","Health","","Denver-Aurora, CO"
"169","2015","Ven Soft","2,424%","$4.7m","IT Services","","Washington, DC"
"170","2015","Heartland Consulting","2,405%","$2.7m","Government Services","","Washington, DC"
"171","2015","Midwest Corporate Credit","2,390%","$2.8m","Financial Services","","Chicago"
"172","2015","BDE Ventures","2,388%","$4.2m","Advertising & Marketing","","Los Angeles"
"174","2015","Visually","2,384%","$4.9m","Advertising & Marketing","","San Francisco"
"175","2015","Goviva","2,378%","$11.6m","Consumer Products & Services","","New York City"
"176","2015","Real Strategic","2,373%","$3.8m","Software","","Miami"
"177","2015","CentralCloseout.com","2,357%","$4.2m","Business Products & Services","","Miami"
"178","2015","Integrhythm","2,339%","$3.8m","IT Services","","Minneapolis"
"179","2015","AIT Bioscience","2,311%","$5.9m","Health","","Indianapolis, IN"
"180","2015","ISGF","2,310%","$5.5m","IT Services","","Orlando, FL"
"181","2015","The K Company Realty","2,262%","$5.5m","Real Estate","","Miami"
"182","2015","The Good Bean","2,260%","$3.9m","Food & Beverage","","San Francisco"
"183","2015","Pontchartrain Partners","2,255%","$24.9m","Government Services","","New Orleans-Metairie-Kenner, LA"
"184","2015","Optimatic Media","2,254%","$78.7m","Advertising & Marketing","","New York City"
"185","2015","BurgerFi","2,249%","$66.4m","Food & Beverage","","Miami"
"186","2015","Centerspan","2,243%","$3.8m","Health","","New York City"
"187","2015","CDI Southeast","2,233%","$27.9m","IT Services","","Charlotte"
"188","2015","iTexico","2,231%","$4.1m","IT Services","","Austin"
"189","2015","American Retirement Advisors","2,229%","$22m","Financial Services","","Phoenix"
"190","2015","Fatbeam","2,197%","$2.3m","Telecommunications","","Coeur d'Alene, ID"
"191","2015","Global Dimensions","2,161%","$8m","Government Services","","Washington, DC"
